   0.00703   0.01944  88.15253   3.60949   3.01300   2.44469   3.30580   3.61119   0.18090
   0.00727   0.01981  97.81426   3.94833   3.35618   2.79163   3.64753   3.95043   0.20524
   0.00749   0.02015 107.16059   4.27885   3.69072   3.12963   3.98076   4.28138   0.22994
   0.00772   0.02050 116.90316   4.62690   4.04277   3.48507   4.33154   4.62993   0.25721
   0.00794   0.02084 126.90179   4.98871   4.40847   3.85405   4.69605   4.99231   0.28726
   0.00815   0.02117 136.48848   5.33765   4.76106   4.20969   5.04755   5.34182   0.31700
   0.00835   0.02148 146.00002   5.68894   5.11581   4.56727   5.40132   5.69376   0.34889
   0.00856   0.02179 155.65265   6.04756   5.47790   4.93217   5.76245   6.05309   0.38230
   0.00876   0.02210 165.49249   6.41758   5.85134   5.30835   6.13500   6.42389   0.41853
   0.00895   0.02240 174.98502   6.77728   6.21430   5.67387   6.49715   6.78440   0.45491
   0.00914   0.02268 184.23483   7.13173   6.57186   6.03384   6.85398   7.13971   0.49242
   0.00933   0.02297 193.62079   7.49330   6.93656   6.40095   7.21798   7.50219   0.53152
   0.00952   0.02326 203.22353   7.86858   7.31499   6.78173   7.59577   7.87851   0.57448
   0.00970   0.02353 212.29839   8.22323   7.67262   7.14157   7.95279   8.23413   0.61507
   0.00987   0.02379 221.34027   8.58382   8.03615   7.50718   8.31581   8.59586   0.65976
   0.01005   0.02405 230.41440   8.94574   8.40101   7.87414   8.68017   8.95892   0.70463
   0.00369   0.01428  -3.58629   0.60170   0.00000   0.00000   0.26756   0.60154   0.01703
   0.00389   0.01462  -2.92235   0.60830   0.00000   0.00000   0.27783   0.60814   0.01835
   0.00418   0.01512  -1.51304   0.63476   0.00788   0.00000   0.30939   0.63461   0.02054
   0.00440   0.01548  -0.21962   0.66535   0.03717   0.00000   0.34346   0.66521   0.02236
   0.00463   0.01586   1.41485   0.70815   0.08717   0.00000   0.38974   0.70802   0.02455
   0.00483   0.01618   3.07329   0.75366   0.13700   0.00000   0.43814   0.75353   0.02667
   0.00502   0.01649   4.85995   0.80404   0.19184   0.00000   0.49121   0.80392   0.02893
   0.00523   0.01683   7.08596   0.86862   0.26086   0.00000   0.55854   0.86851   0.03172
   0.00541   0.01711   9.23443   0.93192   0.32793   0.00000   0.62416   0.93183   0.03443
   0.00558   0.01739  11.43972   0.99748   0.39705   0.00000   0.69190   0.99740   0.03723
   0.00572   0.01761  13.38412   1.05599   0.45832   0.00000   0.75211   1.05593   0.03974
   0.00602   0.01809  17.77492   1.19216   0.60018   0.04365   0.89177   1.19213   0.04565
   0.00627   0.01849  21.83326   1.32428   0.73703   0.16808   1.02680   1.32431   0.05163
   0.00656   0.01895  26.76336   1.48790   0.90576   0.34715   1.19356   1.48799   0.05931
   0.00687   0.01943  32.40023   1.67605   1.09908   0.54429   1.38489   1.67624   0.06858
   0.00715   0.01986  37.93203   1.86218   1.28977   0.73957   1.57384   1.86247   0.07823
   0.00744   0.02030  43.90177   2.06473   1.49681   0.95085   1.77917   2.06514   0.08923
   0.00768   0.02067  49.15939   2.24453   1.68026   1.13781   1.96124   2.24508   0.09943
   0.00797   0.02112  55.96740   2.47977   1.91984   1.38154   2.19920   2.48051   0.11354
   0.00823   0.02152  62.28461   2.70008   2.14392   1.60921   2.42189   2.70102   0.12739
   0.00847   0.02189  68.23111   2.90872   2.35596   1.82449   2.63268   2.90986   0.14091
   0.00878   0.02236  76.29164   3.19538   2.64689   2.11944   2.92208   3.19685   0.16072
   0.00908   0.02281  84.20142   3.47997   2.93544   2.41170   3.20924   3.48179   0.18147
   0.00936   0.02323  91.81888   3.75653   3.21566   2.69534   3.48820   3.75873   0.20248
   0.00964   0.02365  99.71734   4.04647   3.50923   2.99227   3.78055   4.04910   0.22558
   0.00991   0.02407 107.77361   4.34632   3.81261   3.29888   4.08278   4.34945   0.25092
   0.01018   0.02446 115.47686   4.63483   4.10444   3.59373   4.37356   4.63846   0.27595
   0.01043   0.02484 123.06948   4.92369   4.39644   3.88853   4.66462   4.92790   0.30266
   0.01068   0.02522 130.75539   5.21796   4.69386   4.18872   4.96111   5.22278   0.33060
   0.01094   0.02560 138.55006   5.52029   4.99929   4.49685   5.26567   5.52580   0.36080
   0.01118   0.02595 146.04652   5.81343   5.29538   4.79547   5.56096   5.81964   0.39105
   0.01141   0.02630 153.31807   6.10121   5.58597   5.08843   5.85084   6.10816   0.42214
   0.01164   0.02664 160.68167   6.39427   5.88187   5.38669   6.14604   6.40201   0.45450
   0.01187   0.02699 168.17343   6.69705   6.18748   5.69462   6.45101   6.70568   0.48992
   0.01210   0.02732 175.25336   6.98318   6.47630   5.98562   6.73923   6.99266   0.52340
